,Datetime,Temperature,Flow
148,2019-08-02 13:15:00,14.6,3.188121399
149,2019-08-02 13:30:00,14.6,3.163017853
150,2019-08-02 13:45:00,14.7,3.163017853
151,2019-08-02 14:00:00,14.7,3.163017853
152,2019-08-02 14:15:00,14.8,3.163017853
153,2019-08-02 14:30:00,14.9,3.163017853
154,2019-08-02 14:45:00,15.0,3.163017853
155,2019-08-02 15:00:00,15.2,3.163017853
156,2019-08-02 15:15:00,15.3,3.163017853
157,2019-08-02 15:30:00,15.4,3.163017853
158,2019-08-02 15:45:00,15.6,3.188121399
159,2019-08-02 16:00:00,15.7,3.188121399
160,2019-08-02 16:15:00,15.8,3.188121399
161,2019-08-02 16:30:00,15.9,3.188121399
162,2019-08-02 16:45:00,16.0,3.188121399
163,2019-08-02 17:00:00,16.0,3.163017853
164,2019-08-02 17:15:00,16.1,3.163017853
165,2019-08-02 17:30:00,16.1,3.163017853
166,2019-08-02 17:45:00,16.1,3.163017853
167,2019-08-02 18:00:00,16.1,3.163017853
168,2019-08-02 18:15:00,16.0,3.163017853
169,2019-08-02 18:30:00,16.0,3.163017853
170,2019-08-02 18:45:00,15.9,3.188121399
171,2019-08-02 19:00:00,15.8,3.188121399
172,2019-08-02 19:15:00,15.7,3.163017853
173,2019-08-02 19:30:00,15.5,3.163017853
174,2019-08-02 19:45:00,15.4,3.163017853
175,2019-08-02 20:00:00,15.3,3.163017853
176,2019-08-02 20:15:00,15.2,3.1380751960000004
177,2019-08-02 20:30:00,15.1,3.163017853
178,2019-08-02 20:45:00,15.0,3.163017853
179,2019-08-02 21:00:00,14.9,3.163017853
180,2019-08-02 21:15:00,14.9,3.163017853
181,2019-08-02 21:30:00,14.8,3.163017853
182,2019-08-02 21:45:00,14.7,3.163017853
183,2019-08-02 22:00:00,14.7,3.163017853
184,2019-08-02 22:15:00,14.7,3.163017853
185,2019-08-02 22:30:00,14.6,3.1380751960000004
186,2019-08-02 22:45:00,14.6,3.1380751960000004
187,2019-08-02 23:00:00,14.6,3.163017853
188,2019-08-02 23:15:00,14.5,3.163017853
189,2019-08-02 23:30:00,14.5,3.163017853
190,2019-08-02 23:45:00,14.5,3.188121399
191,2019-08-03 00:00:00,14.5,3.188121399
192,2019-08-03 00:15:00,14.4,3.188121399
193,2019-08-03 00:30:00,14.4,3.188121399
194,2019-08-03 00:45:00,14.4,3.163017853
195,2019-08-03 01:00:00,14.3,3.163017853
196,2019-08-03 01:15:00,14.3,3.163017853
197,2019-08-03 01:30:00,14.3,3.163017853
198,2019-08-03 01:45:00,14.2,3.163017853
199,2019-08-03 02:00:00,14.2,3.163017853
200,2019-08-03 02:15:00,14.2,3.188121399
201,2019-08-03 02:30:00,14.1,3.188121399
202,2019-08-03 02:45:00,14.1,3.188121399
203,2019-08-03 03:00:00,14.0,3.188121399
204,2019-08-03 03:15:00,14.0,3.188121399
205,2019-08-03 03:30:00,13.9,3.188121399
206,2019-08-03 03:45:00,13.9,3.188121399
207,2019-08-03 04:00:00,13.8,3.163017853
208,2019-08-03 04:15:00,13.8,3.188121399
209,2019-08-03 04:30:00,13.7,3.188121399
210,2019-08-03 04:45:00,13.7,3.188121399
211,2019-08-03 05:00:00,13.6,3.188121399
212,2019-08-03 05:15:00,13.6,3.188121399
213,2019-08-03 05:30:00,13.6,3.188121399
214,2019-08-03 05:45:00,13.5,3.188121399
215,2019-08-03 06:00:00,13.5,3.213386631
216,2019-08-03 06:15:00,13.4,3.188121399
217,2019-08-03 06:30:00,13.4,3.188121399
218,2019-08-03 06:45:00,13.4,3.188121399
219,2019-08-03 07:00:00,13.3,3.188121399
220,2019-08-03 07:15:00,13.3,3.188121399
221,2019-08-03 07:30:00,13.3,3.188121399
222,2019-08-03 07:45:00,13.3,3.188121399
223,2019-08-03 08:00:00,13.3,3.188121399
224,2019-08-03 08:15:00,13.2,3.188121399
225,2019-08-03 08:30:00,13.2,3.188121399
226,2019-08-03 08:45:00,13.2,3.188121399
227,2019-08-03 09:00:00,13.2,3.188121399
228,2019-08-03 09:15:00,13.2,3.188121399
229,2019-08-03 09:30:00,13.3,3.163017853
230,2019-08-03 09:45:00,13.3,3.163017853
231,2019-08-03 10:00:00,13.3,3.163017853
